smiles,min_bde_pred,Td
COCC(C(C)=CC(CNC(=O)C1=CC=NC=C1)=NO)[N+]([O-])=O,18.454529,428.15
OC(=O)CNC1=C(C2=CC=CC=C2C=C1)[N+]([O-])=O,6.4041133,428.15
O=C(NCC(=O)N(CC1=CC=CC=C1)[C@H]1[C@H](CC2=CC=CC=C2)CCC2=CC=CC=C12)NC1=CC=CC(=C1)C(=O)NC1=NN=NN1,17.763693,428.15
NC1=NC(NCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=NO1,73.452934,428.15
O=[N+](/C([N+]([O-])=O)=C1NCN(N=O)CN\1)[O-],71.23515,428.15
CN1C([N+]([O-])=O)=NN=N1,80.85372,428.15
NC(O1)=NN=C1C2=NON=C2[N+]([O-])=O,72.38899,428.15
O=C(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)CCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O,60.760258,428.15
CCOC(=O)N1N=NN=C1C1=CC(=O)C2=C(O1)C=CC=C2,9.533585,428.65
O=[N+](C1=CN([N+]([O-])=O)N=C1C2=NOC(C3=NN([N+]([O-])=O)C=C3[N+]([O-])=O)=N2)[O-],72.71845,429.15
CN1C(=O)C(=C(O)C2=CC=CN=C12)[N+]([O-])=O,12.195051,430.15
CC(C)(C)OC(=O)NC1=C(C=C(C#CC2=CC=CC=C2)C(OCC(O)CO)=C1)[N+]([O-])=O,5.9064345,430.15
O=C(OCCOC(N[N+]([O-])=O)=O)N[N+]([O-])=O,61.299084,430.15
O=[N+](/C([N+]([O-])=O)=C1NCN([N+]([O-])=O)CN\1)[O-],69.06207,431.15
O=C(OCC(COC(N[N+]([O-])=O)=O)([N+]([O-])=O)[N+]([O-])=O)N[N+]([O-])=O,65.937515,431.15
ON=C(CC1=C(C=CC=C1)[N+]([O-])=O)C(O)=O,15.486011,432.15
CC1=NC(C2=NON=C2N[N+]([O-])=O)=NO1,70.4086,432.15
O=[N+](C1=CN([N+]([O-])=O)N=C1C2=NN=C(C3=NN([N+]([O-])=O)C=C3[N+]([O-])=O)O2)[O-],72.718445,432.15
CCCCC1=NC=C2N1C(CC=C2CC(O)=O)C1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1,22.345638,432.65
O=C1OCC(CO[N+]([O-])=O)(CO[N+]([O-])=O)N1[N+]([O-])=O,73.62865,433.15
NC1=[N+]([O-])ON=C1C2=NO[N+]([O-])=C2N,76.307144,433.15
O=[N+](C1=CN(N=N1)/N=N/N2C=C([N+]([O-])=O)N=N2)[O-],78.50105,433.15
CC(=O)C1=CN([C@H]2C[C@H](O)[C@@H](CN=[N+]=[N-])O2)C(=O)NC1=O,20.666046,433.65
OC(=O)C1=C(NC(=N1)C1=CC=CC2=CC=CC=C12)C1=CC=C(C=C1)[N+]([O-])=O,12.789698,434.15
CC(O)C1C(CC(=O)C(=[N+]=[N-])C(=O)OCC2=CC=C(C=C2)[N+]([O-])=O)NC1=O,18.748371,434.35
[O-][N+](=O)C=CC1=CNC=C1,82.31491,435.15
[N-]=[N+]=NC1=C2C(=O)N(CCCCN3C(=O)C4=CC=CC(N=[N+]=[N-])=C4C3=O)C(=O)C2=CC=C1,30.375935,435.15
OC[C@H]1O[C@H](C[C@@H]1N=[N+]=[N-])N1C=CC(=O)NC1=O,40.81666,435.15
COC1=C(OC)C=C2C(=C1)N=CN=C2N1CCC2=CC(=CC=C12)N=[N+]=[N-],5.796106,435.15
[O-][N+](C([N+]([O-])=O)([N+]([O-])=O)C([H])([H])C([H])([H])C(OC([H])([H])C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=O)=O,60.76026,435.95
CC(CC1=CC=C(C=C1)[N+]([O-])=O)(C(O)=O)C(O)=O,18.670864,436.15
CC[C@H](C)[C@H](OCC1=CC=CC=C1)[C@@H]1[C@H](N[C@H]([C@H]1[N+]([O-])=O)C1=CC=CC=C1)C(O)=O,27.223175,436.15
NC1=NN=NN1CCO[N+]([O-])=O,69.494064,436.15
NC1=C([N+]([O-])=O)C2=NN=NN2N=C1N=[N+]=[N-],29.203419,436.15
N/C(N1C(C)(O)CC(C)=N1)=C([N+]([O-])=O)/[N+]([O-])=O,70.97026,436.41
CCCCC1=NC(CCCC)=C2N1C(CC=C2C1=CC=CC=C1)C1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1,22.350471,437.15
CCC(=O)C1=C(C)C2=CC=CC(=C2N1)[N+]([O-])=O,29.387253,437.15
[O-][N+](=O)C1=CC=C(C=C1)C(=O)OC1=CC=CC2=CC3=CC=CC(OC(=O)C4=CC=C(C=C4)[N+]([O-])=O)=C3C(OC(=O)C3=CC=C(C=C3)[N+]([O-])=O)=C12,9.881621,438.15
CN(O)C(=O)C=CC1=CC=C(C2=CC=CC=C12)[N+]([O-])=O,5.25879,438.15
CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN(N=N1)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,24.966476,438.15
CNN(C=C[N+]([O-])=O)N=CC1=NC=CC=C1,29.847961,438.15
CN([N+]([O-])=O)CN1N=C([N+]([O-])=O)N=C1[N+]([O-])=O,80.00249,438.15
CN([N+]([O-])=O)CN1N=C([N+]([O-])=O)C(N)=C1[N+]([O-])=O,77.113,438.15
ON1N=NC(C2=NN(O)N=N2)=N1,86.034225,438.15
NC1=NN=NN1CCN2N=C([N+]([O-])=O)C([N+]([O-])=O)=C2N=[N+]=[N-],64.99002,439.15
NC1=NC2=C([N+]([O-])=O)N=NN2N=C1N=[N+]=[N-],43.628094,439.15
O=[N+](C(N=N1)=C(N=C/2N([H])[H])[N+]1=NC2=N/[N+]#N)[O-],75.57602,439.15
NCC(=O)NC1=C(C=C(C=C1)[N+]([O-])=O)C(=NO)C1=CC=CC=C1,9.254286,440.15
N/C(C1=NNC(N=[N+]=[N-])=N1)=N\O,69.628235,440.15
OC(CN([N+]([O-])=O)CC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=O,72.730225,440.15
CC(C)OC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OCCCN(C)CC1=CC=CC=C1,23.303366,440.65
CC1NC(=O)NN=C1C1=CC=C(C=C1)C1=NN=NN1,21.327656,441.15
[O-][N+](=O)C1=C(C=CC=C1)C1=CNC(=N1)C#N,12.174665,441.15
CCC1=NC2=CC=NN2C(=C1)N(C)CC1=CC2=C(OC(=C2)C2=C(C=CC=C2)C2=NN=NN2)C=C1,19.577394,441.15
CCN1CC2=C(NC(=O)C1)C=C(C(OC)=C2)[N+]([O-])=O,4.185457,441.15
O/N=C/C1=NO[N+]([O-])=C1/C=N/O,72.72212,441.15
O=[N+](NCC(O[N+]([O-])=O)CN[N+]([O-])=O)[O-],58.622566,441.15
CCCCC1=NC(CCCC)=C2C(CCC(N12)C1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1)N1C(=O)CCC1=O,22.869781,441.55
CCC1C(C)NN=C(C=CC2=CC=C(C=C2)[N+]([O-])=O)C2=C1C=C(OC)C(OC)=C2,9.207901,441.65
O=[N+](C(COC1=NC(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=NC(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=N1)([N+]([O-])=O)[N+]([O-])=O)[O-],79.15616,441.95
[O-][N+](=O)C1=CC(=C(CC2=C(C=C(C(C=CC3=C(C=C(C=C3[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O)=C2[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O)C(=C1)[N+]([O-])=O)[N+]([O-])=O,11.144283,442.15
CC1=C(C(C2=CC(=CC=C2)[N+]([O-])=O)C(=NN1)C(O)=O)C(O)=O,23.18452,442.15
CC1=NC2=CC=CC=C2C(OCC2=CC=C(C=C2)C2=C(C=CC=C2)C2=NN(N=N2)C(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)=C1,11.746995,442.15
CCCN1N=C(N=C1CC1=CN=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1)C(OC)OC,17.743399,442.15
CCCN1N=C(N=C1CCC1=CN=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1)C(OC)OC,17.743399,442.15
O=C(NC(NC(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=O)=O)OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O,62.917427,442.15
NC1=NON=C1C2=NO[N+]([O-])=C2C3=NON=C3NCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O,67.84906,442.55
O=[N+](C1=NN(CC(N/2)=NOC2=N\[N+]([O-])=O)C([N+]([O-])=O)=C1[N+]([O-])=O)[O-],70.04158,443.05
OC(CCC(O)=O)C1=CC=C(C=C1)C1=C(C=CC=C1)[N+]([O-])=O,20.081411,443.15
[N-]=[N+]=NC1=NC2=CC=CC=CC2=C1C#N,31.746283,443.15
CCCCOC(=O)NC1=CC=C(CC(=O)N(C)[C@H](CN2CCCC2)C2=CC(=CC=C2)[N+]([O-])=O)C=C1,22.997803,443.15
OC(=O)C1=CC=C(O1)C1=NN(CC2=CC=CC=C2)C2=CC(=CC=C12)[N+]([O-])=O,18.259163,443.15
ON1N=NN=C1/N=N/C2=NN=NN2O,86.73414,443.15
O=C(NCN([N+]([O-])=O)CC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O,63.801003,443.15
[O-]C1=C(C(N)=C(C=C1[N+]#N)[N+]([O-])=O)[N+]([O-])=O,6.6482773,443.15
NC1=NO[N+]([O-])=C1C2=[N+]([O-])ON=C2N,76.57123,443.15
CN(CC1=NOC(=N1)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(O)=O)CC1=CC=CC=C1,23.28171,444.15
CC(C)CNC1=C(C2=NN=NN2C2=NC=CC=C12)[N+]([O-])=O,11.479985,444.15
[O-][N+](=O)C1=CC=C(C=C1)C1=NN2CCCC2CC2=C1C=C1OCOC1=C2,15.362478,444.15
OC(=O)CC1=C(C=C(NC(=O)OCC2=CC=CC=C2)C2=CC=CC=C12)[N+]([O-])=O,1.2497351,444.15
O=[N+](C1=NN([N+]([O-])=O)C=C1)[O-],72.9516,444.15
O[C@@H]1[C@H](NC(=O)C(C(=O)OCC2=CC=C(C=C2)[N+]([O-])=O)C2=CC=CC=C2)[C@H](O[C@H]1N1C=NC2=C(NC(=O)C3=CC=CC=C3)N=CN=C12)C(O)=O,18.748371,444.65
O=[N+](C([N+]([O-])=O)([N+]([O-])=O)N1N=C([N+]([O-])=O)N=C1C2=NNC=N2)[O-],78.85475,445.15
[N-]=[N+]=NC1=C(C=NC2=CC=CC=C12)C(=O)ON1C(=O)CCC1=O,10.489226,447.15
OC[C@H]1OC(O)[C@H](N=[N+]=[N-])[C@@H](O)[C@H]1O,57.236687,447.15
COC1=CC2=C(C=C1OC)C(C=CC1=CC=C(C=C1)[N+]([O-])=O)=NNC(C)C2,9.535727,447.15
[NH2+]=C(N([N+]([O-])=O)CN([N+]([O-])=O)CN([N+]([O-])=O)C([N-][N+]([O-])=O)=[NH2+])[N-][N+]([O-])=O,73.11436,447.15
N[C@@H](CN=[N+]=[N-])C(O)=O,55.516975,447.65
CN(C)CCCN(C)C(=O)C1=CC(=CN1)N(C)C(=O)C1=CC(=CN1)[N+]([O-])=O,70.63608,448.15
CCCCC1=CN(CC(CC)CC)C(=O)N1CC1=CC=C(N=C1)C1=C(C=CC=C1)C1=NN=NN1,17.743399,448.15
CC(C)(C)OC(=O)CC[C@@H](N)C1=NN=NN1,60.53887,448.15
OCC1=NN=C(C2=CC=C(C=C2)[N+]([O-])=O)C2=C(C1)C=C1OCOC1=C2,15.623152,448.15
O=[N+](N(CCN(C1=NON=C1C2=NOC=N2)[N+]([O-])=O)C3=NON=C3C4=NOC=N4)[O-],74.16656,448.15
NC1=C([N+]([O-])=O)C2=NON=C2[N+]([O-])=N1,47.16233,448.15
[N-]=[N+]=NC1=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C1,27.14169,448.15
OC1C(O)N/C(N1)=C([N+]([O-])=O)/[N+]([O-])=O,71.630486,448.81
NC1=CC=C(C=C1)N1C(=O)C2=CC=CC(N=[N+]=[N-])=C2C1=O,16.567398,449.15
NC1=NC2=C(N=CN2COCCOC(=O)CN=[N+]=[N-])C(=O)N1,63.49479,449.15
CCC1=NC2=C(C)C=C(C)N=C2N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1,24.264751,449.15
CCCC1(CCC)C2=CC=CC=C2C2=C1C=C(O)C(=C2)[N+]([O-])=O,13.818609,449.15
OC(=O)C1=C(NC(=N1)C1=CC=C(C=C1)[N+]([O-])=O)C1=CC=CC=C1,19.359638,449.65
CCCCN1C=C(CCCC)N(CC2=CC=C(C=C2)C2=C(C=NC=C2)C2=NN=NN2)C1=O,25.809029,450.15
CC(C)(C)OC(=O)NC1=C(C=C(C#CC2=CC=CC=C2)C(CO)=C1)[N+]([O-])=O,6.6778655,450.15
CCOC(CNC(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=O)=O,58.25903,450.15
CCCCC1=CN(C(=O)N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1)C1=C(C)C=CC=C1C,20.021687,450.65
CCCC1=CN([C@H]2C[C@H](O)[C@@H](CN=[N+]=[N-])O2)C(=O)NC1=O,34.677254,451.15
CC1=CC(OCC2=CC=C(C=C2)C2=C(C=CC=C2)C2=NN(N=N2)C(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)=C(C(C)=N1)C1=CC=NC=C1,21.581816,451.15
CCCOC1=NC2=C(C=CC=C2)N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1,24.264751,451.15
CC1=CC2=C3N=C(C)C=CC3=C(C=C2N=C1)[N+]([O-])=O,3.2586837,451.15
COC1=CC=C(C(O)=O)C2=C1OC1=C2C=C(C=C1)[N+]([O-])=O,18.59692,451.15
O=[N+](/N=C1N(CC2=NN=NN2)N=NN/1)[O-],69.985596,451.15
[N-]=[N+]=NC1=NON=C1NCNC2=NON=C2N=[N+]=[N-],70.31891,451.15
OC(CCC(O)=O)C1=CC=C(C=C1)C1=CC=C(C=C1)[N+]([O-])=O,19.999226,451.65
CCCC1=NC(=C(N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1)C(=O)OCC1=C(C)OC(=O)O1)C(C)(C)O,24.264751,451.65
C(OC1=CC=C2N(CC3=CC=CC=C3)C=C(C=CC3=NN=NN3)C2=C1)C1=CC=CC=C1,22.67673,452.15
CC(=O)OCC1=CC=C(C=C1)C1=C(N=C(N1)C1=CC=C(C=C1)[N+]([O-])=O)C(=O)OC(C)(C)C,19.359638,452.15
O=[N+](N1C2N([N+]([O-])=O)C3C1N(CN=[N+]=[N-])C4C(N3CN=[N+]=[N-])N([N+]([O-])=O)C2N4[N+]([O-])=O)[O-],67.81053,452.15
OC(=O)CN1N=NN=C1C1=CC=CC=C1,24.555925,452.65
CC1=CC(OCC2=CC=C(C=C2)C2=C(C=CC=C2)C2=NN=NN2)=C(C(C)=N1)C1=CC=NC=C1,21.581816,453.15
CCOC(=O)C(=O)NC1=C(C=C(C=C1)N1C=CN=C1)[N+]([O-])=O,9.376892,453.15
COC1=C2C(NC=C2C=C[N+]([O-])=O)=CC=C1,32.122902,453.15
O=[N+](N(C([H])([H])C(OC([H])(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)[H])=O)C([H])(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)[H])[O-],63.21145,453.15
CCCC1=C(OCCOC2=CC=C3C(O)=C(C(=O)OC3=C2)[N+]([O-])=O)C(=CC(C(C)=O)=C1O)[N+]([O-])=O,6.4433985,453.65
COC1=C(C=C(C=C1)N1C=NN=N1)C(=O)N1CCC(CCN2CCCN(CC2)C2=NC3=C(C=CC=C3)N2CCO)(C1)C1=CC=CC=C1,5.0634537,454.15
O=[N+](C1=NN(CCN2N=NN/C2=N/[N+]([O-])=O)C=N1)[O-],65.99106,454.15
CCOCN1C(C)=C(C(C2=CC(=CC=C2)[N+]([O-])=O)C(C(=O)OCC)=C1C)C(O)=O,23.303364,454.65
CC1(C)OC(=O)C(CC2=CNC3=CC=C(C=C23)[N+]([O-])=O)C(=O)O1,18.756168,455.15
[O-][N+](=O)C1=C2C(=O)NC(=O)N(CCCCN3CCC(=CC3)C3=CC=CC=C3)C2=CC=C1,6.467014,455.15
O=[N+](C([N+]([O-])=O)([N+]([O-])=O)CNN1C(NN2N=NN=C2)=NN=C1)[O-],73.86908,455.15
O=C(OCC(COC(N)=O)([N+]([O-])=O)[N+]([O-])=O)N,65.908295,455.15
[O-]N1C2=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C2[NH+]=N1,24.581501,455.15
NC(NC1=NON=C1[N+]([O-])=O)=O,69.49546,455.15
CN([N+]([O-])=O)CN1C=C([N+]([O-])=O)N=C1[N+]([O-])=O,78.35318,456.15
O=C(CN([N+]([O-])=O)CC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O,63.21145,456.15
CN([N+]([O-])=O)CNC(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=O,63.80179,456.15
O=C(NC(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=O)OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O,63.79729,456.15
[O-][N+](=O)C1=C(NNC(=O)C2=CC=CC=C2)C2=CC=CC=C2C=C1,7.8010793,456.65
[O-][N+]1=C(C2=[N+]([O-])ON=C2N)C(C3=[N+]([O-])ON=C3N)=NO1,76.6172,456.75
NC1=NN=NN1CN(C)[N+]([O-])=O,76.46707,457
COC(=O)N1C=C(C=NN2CCOCC2)C(=N1)C1=CC=C(O1)[N+]([O-])=O,68.44267,457.15
OC(=O)C1=NC=C(OC2=CC=C(C=C2)[N+]([O-])=O)C=C1,18.962025,457.15
OCC1=NC2=CC=CC=C2C(OCC2=CC=C(C=C2)C2=C(C=CC=C2)C2=NN(N=N2)C(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)=C1,11.5866165,457.15
NC(C=CC1=CC=C(C=C1)[N+]([O-])=O)=NO,19.28339,457.65
CC1=C(C(C2=CC(=CC=C2)[N+]([O-])=O)C(C(O)=O)=C(C)N1)C(O)=O,23.303364,457.65
ON1C(=O)C=CC2=CC(=CC=C12)[N+]([O-])=O,6.8324466,457.65
CCCCC1=CN(C)C(=O)N1CC1=CC=C(N=C1)C1=C(C=CC=C1)C1=NN=NN1,17.743399,457.65
OC1N/C(NC1O)=C([N+]([O-])=O)\[N+]([O-])=O,71.63048,457.96
COC1=C(OC)C=C2C(=C1)N=CN=C2N1CCC2=CC=C(C=C12)N=[N+]=[N-],5.8105707,458.15
[O-][N+]1=NC2=NN=NN2N=C1N,77.656334,458.15
[H]C1=C([N+]([O-])=O)C([H])=C([N+]([O-])=O)C(N([N+]([O-])=O)C([H])([H])[H])=C1[N+]([O-])=O,13.320239,458.15
C(C1=NN=NN1)C1=NC2=C(C=CC=C2)N1C1=CC=CC=C1,22.762724,459.15
O=C(C(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=O)OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O,64.0672,459.15
NN(C([N+]([O-])=O)=N1)N=C1N(C=N2)N=C2[N+]([O-])=O,76.54765,459.15
O=[N+](C1=CN([N+]([O-])=O)N=C1C2=NN=C(C3=NN=C(C4=NN([N+]([O-])=O)C=C4[N+]([O-])=O)O3)O2)[O-],72.718445,459.15
CN(CC(N)=O)[N+]([O-])=O,69.95969,459.15
NC1=C([N+]([O-])=O)C2=NON=C2N=N1,49.02003,459.15
CCC1=NC2=C(C=NN2C(NCC2=CC=C(C=C2)C2=C(C=CC=C2)C2=NN=NN2)=C1)C(O)=O,24.264751,460.15
OC[C@H]1O[C@H]([C@@H](O)[C@@H]1O)N1C=NC2=C(N=[N+]=[N-])N=CN=C12,61.465347,460.65
CCCCC1=CN(C(=O)N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1)C1=C(C)C=C(C)C=C1C,20.112612,460.65
NC(=O)CC1=C(C=CC(=C1)[N+]([O-])=O)C(O)=O,10.016745,460.65
O=[N+](/C([N+]([O-])=O)=C1NCN(CN2CN/C(NC2)=C([N+]([O-])=O)/[N+]([O-])=O)CN\1)[O-],71.17404,461.15
CCCC1=NC2=C(C(N(CC2)C(C)=O)C(=O)OC)N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,23.53806,461.65
[O-][N+](=O)C1=CC=C(C=C1)N1CCC(=CC1)C1=CC=CC=C1,12.862614,461.65
CC(C)(C)OC(=O)CCCCCCCCCCC1(CN(CC2=CC=CC=C2)CCN(CC2=CC=CC=C2)C1)[N+]([O-])=O,27.812698,461.65
CCCC(N1CCCC1)C(=O)C1=CC=C(C=C1)[N+]([O-])=O,13.09957,462.15
N/C(N1C(C=C([N+]([O-])=O)C=C2[N+]([O-])=O)=C2C=N1)=N\N=C\C3=C([N+]([O-])=O)C=C([N+]([O-])=O)C=C3[N+]([O-])=O,14.675629,462.15
[N-]=[N+]=NCC(=O)NC1=C2CCCCC2=NC2=CC=CC=C12,8.2890625,463.15
NC1=C(N=C(N2C=NN=N2)C2=C1C(=O)NNC2=O)C1=CC=CC=C1,8.270563,463.15
CCCCC1=CN(C(=O)N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1)C1=C(OC)C=CC=C1OC,16.694744,463.15
O=C1N(CO[N+]([O-])=O)C2=NC3=NON=C3N=C2N1CO[N+]([O-])=O,67.82184,463.15
NN1N=C([N+]([O-])=O)C([N+]([O-])=O)=N1,76.18256,463.15
OC(=O)C(OC1=CC2=C(C=C1)C(=CO2)C1=CC=CC=C1)[N+]([O-])=O,26.00978,463.65
CCCCC1=CC=C(N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1)C(=O)OCC,24.264751,463.65
CC(C)OC1=C(C)OC(C(=O)NC2=NN=NN2)=C1OC(C)C,65.564384,464.15
CC1=CC=CN=C1NC=C(C#N)C1=NN=NN1,26.15383,464.15
O[C@H](CN1C(=O)C2=CC=CC=C2C1=O)N1C=CN=C1[N+]([O-])=O,29.762352,464.65
CCOC1=NC2=C(N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1)C(=CC=C2)C(=O)OC,20.812641,465.15
ON1N=NC(=N1)C1=CC(=O)C2=C(O1)C(NC(=O)C1=CC=C(OCCCCC3=CC=CC=C3)C=C1)=CC=C2,11.959156,465.15
NC1=NON=C1NNC1=NON=C1N,66.337616,465.15
O=C(OCC([N+]([O-])=O)([N+]([O-])=O)C)N,67.11374,465.15
[N-]=[N+]=NCN([N+]([O-])=O)CN([N+]([O-])=O)CN([N+]([O-])=O)CN=[N+]=[N-],57.35898,465.2
O=C(CN1C=NN=N1)NC1=CC=CC=C1,27.98304,465.65
O=C(NC1N=C(C2=CC=CC=C2)C2=C(C=CC=C2)N(CC2=NN=NN2)C1=O)C1=CC2=CC=CC=C2N1,15.587162,465.65
O=C(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)C1=C([N+]([O-])=O)C=C(C(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=O)C([N+]([O-])=O)=C1,2.858906,465.85
